sample_id,species,st_data_dir,sc_data_dir
10x_visium_V1_Mouse_Kidney,Mouse,/home/domans/Projects/ST/data/10x_visium_V1_Mouse_Kidney/,/home/domans/Projects/ST/data/mouse_Kidney_Park_10x_remapped/filtered_feature_bc_matrix/
10x_visium_Visium_FFPE_Human_Breast_Cancer,Human,/home/domans/Projects/ST/data/10x_visium_Visium_FFPE_Human_Breast_Cancer/,/home/domans/Projects/ST/data/10x_sc_Breast_Cancer_3p/filtered_feature_bc_matrix/
Andersson_Nat_Gen_2021_CID4465,Human,/home/domans/Projects/ST/data/Andersson_2021_Nat_Gen/ST/CID4465/,/home/domans/Projects/ST/data/Andersson_2021_Nat_Gen/SC/CID4465/filtered_feature_bc_matrix/
10x_visium_V1_Mouse_Kidney,Mouse,/home/domans/Projects/ST/data/10x_visium_V1_Mouse_Kidney/,/home/domans/Projects/ST/data/mouse_Kidney_Park_10x_remapped/filtered_feature_bc_matrix/
10x_visium_V1_Breast_Cancer_Block_A_Section_1,Human,/home/domans/Projects/ST/data/10x_visium_V1_Breast_Cancer_Block_A_Section_1/,/home/domans/Projects/ST/data/10x_sc_Breast_Cancer_3p/filtered_feature_bc_matrix/  
10x_visium_V1_Human_Heart,Human,/home/domans/Projects/ST/data/10x_visium_V1_Human_Heart/,/home/domans/Projects/ST/data/Tabula_Sapiens_10x_Heart/        
10x_visium_Parent_Visium_Human_BreastCancer,Human,/home/domans/Projects/ST/data/10x_visium_Parent_Visium_Human_BreastCancer/,/home/domans/Projects/ST/data/10x_sc_Breast_Cancer_3p/filtered_feature_bc_matrix/    
10x_visium_Visium_FFPE_Human_Breast_Cancer,Human,/home/domans/Projects/ST/data/10x_visium_Visium_FFPE_Human_Breast_Cancer/,/home/domans/Projects/ST/data/10x_sc_Breast_Cancer_3p/filtered_feature_bc_matrix/   
10x_visium_V1_Breast_Cancer_Block_A_Section_2,Human,/home/domans/Projects/ST/data/10x_visium_V1_Breast_Cancer_Block_A_Section_2/,/home/domans/Projects/ST/data/10x_sc_Breast_Cancer_3p/filtered_feature_bc_matrix/   
10x_visium_V1_Human_Lymph_Node,Human,/home/domans/Projects/ST/data/10x_visium_V1_Human_Lymph_Node/,/home/domans/Projects/ST/data/Tabula_Sapiens_10x_Lymph_Node/   
10x_visium_V1_Adult_Mouse_Brain_Coronal_Section_1,Mouse,/home/domans/Projects/ST/data/10x_visium_V1_Adult_Mouse_Brain_Coronal_Section_1/,/home/domans/Projects/ST/data/10x_sc_neuron_10k_v3/filtered_feature_bc_matrix/    
Andersson_Nat_Gen_2021_CID4465,Human,/home/domans/Projects/ST/data/Andersson_2021_Nat_Gen/ST/CID4465/,/home/domans/Projects/ST/data/Andersson_2021_Nat_Gen/SC/CID4465/filtered_feature_bc_matrix/
